Country,year,Health expenditure per capita(US),Hospital beds(per 1000 people),Incidence of Malaria(per 1000 population),Number of nurses(per 1000 people),Number of physicians(per 1000 people),Population growth(annual percent),Prevalence of HIV(percent),Region
Syrian Arab Republic,2004,61.67289352,1.49,5.60920857039952e-5,1.9132,1.4522,2.34163592008515,0.1,Middle East & North Africa
Syrian Arab Republic,2005,63.559822080000004,1.28,1,1.8846,1.5384,2.94779931535795,0.1,Middle East & North Africa
Syrian Arab Republic,2006,65.62462616,1.47,1,1.4,0.53,3.73143709504919,0.1,Middle East & North Africa
Syrian Arab Republic,2007,75.41347504,1.47,1,1.8904,1.4882,4.20736060236829,0.1,Middle East & North Africa
Syrian Arab Republic,2008,86.41690063,1.54,1,1.8423,1.4858,3.87683250172363,0.1,Middle East & North Africa
Syrian Arab Republic,2009,90.49646759,1.51,1,1.8429,1.4113,2.58833252690427,0.1,Middle East & North Africa
Syrian Arab Republic,2010,92.73750305,1.54,1,1.8749,1.4602,0.736079607629261,0.1,Middle East & North Africa
Tajikistan,2000,5.97125244,6.54,9.18192532412957,4.1816,2.1717,1.56723465363582,0.1,Europe & Central Asia
Tajikistan,2001,7.67240763,6.4,5.3957056115907,3.8946,2.1241,1.63038812768161,0.1,Europe & Central Asia
Tajikistan,2002,8.35373688,6.27,2.86969310588841,3.86,2.041,1.70028177768677,0.1,Europe & Central Asia
Tajikistan,2003,11.17181587,6.12,2.48435037761851,3.5649,1.9396,1.76879018000987,0.1,Europe & Central Asia
Tajikistan,2004,14.93279171,6.04,1.61241179595171,3.5267,1.9512,1.83042886865691,0.1,Europe & Central Asia
Tajikistan,2005,17.73142815,5.87,1.01824281894064,3.464,1.9548,1.88720655667795,0.1,Europe & Central Asia
Tajikistan,2006,20.43570137,6.12,0.581278423282277,3.5069,1.9166,1.94394823621184,0.1,Europe & Central Asia
Tajikistan,2007,29.1230545,5.44,0.269189844548164,3.5224,1.8962,2.00327651488055,0.1,Europe & Central Asia
Tajikistan,2008,42.08819199,5.3,0.132053548959891,3.5568,1.9292,2.06356681152108,0.1,Europe & Central Asia
Tajikistan,2009,39.5818634,5.19,0.066671355343282293,3.5968,1.6439,2.12469662451,0.1,Europe & Central Asia
Tajikistan,2010,42.9864502,5.08,0.0441501103752759,3.9512,1.6975,2.18439215473896,0.1,Europe & Central Asia
Tajikistan,2011,49.65073395,4.95,0.0252823159534914,4.0568,1.7209,2.2347212083873,0.1,Europe & Central Asia
Tajikistan,2012,57.97858429,4.83,0.00684359904873973,4.3959,2.877,2.27761028692613,0.2,Europe & Central Asia
Tajikistan,2013,68.94046021,4.76,0.00111442673702909,5.015,2.8691,2.32138959348237,0.2,Europe & Central Asia
Tajikistan,2014,74.59780884,4.67,7.25572512991376e-4,4.7534,2.1026,2.3669420480681,0.2,Europe & Central Asia
Tanzania,2010,37.532478330000004,0.7,145.456560165742,0.242,0.008,2.91188894130246,5.2,Sub-Saharan Africa
Thailand,2000,62.2649498,2.2,6.57633363686544,2.831,0.368,1.0444225744895,2.1,East Asia & Pacific
Thailand,2002,69.9021225,2.2,3.66470171318533,1.3217,0.2964,0.830519827451946,1,East Asia & Pacific
Thailand,2010,172.0929718,2.1,2.54723861061623,2.0643,0.3906,0.489622687570703,1.6,East Asia & Pacific
Timor-Leste,2009,49.46465683,5.9,102.073881406526,1.1319,0.044,1.77098830008296,0.1,East Asia & Pacific
Timor-Leste,2010,52.1896553,5.9,99.7400976019555,1.1477,0.079,1.77428525606029,0.1,East Asia & Pacific
Uganda,2004,31.77279472,0.7,457.234585944753,0.7072,0.0824,3.18482822906835,7.2,Sub-Saharan Africa
Uganda,2005,39.42023468,1,405.363669824982,1.3591,0.1214,3.16795927327414,7.1,Sub-Saharan Africa
Uganda,2010,65.54209137,0.5,417.345428498511,1.306,0.117,3.18660981826466,6.8,Sub-Saharan Africa
United Arab Emirates,2000,787.02111816,2.38,1,3.401,1.8015,5.5107500989409,0.1,Middle East & North Africa
United Arab Emirates,2001,777.13061523,2.28,1,3.7182,1.9829,5.24154548212896,0.1,Middle East & North Africa
United Arab Emirates,2002,857.91192627,2.19,1,3.7976,2.0027,5.19315186182676,0.1,Middle East & North Africa
United Arab Emirates,2003,886.5012207,2.19,1,3.9548,2.0763,6.48737308141272,0.1,Middle East & North Africa
United Arab Emirates,2004,894.54040527,2.19,1,3.3515,1.9176,9.17410804804272,0.1,Middle East & North Africa
United Arab Emirates,2005,913.3560791,2.19,1,2.9999,1.5193,12.0199278323734,0.1,Middle East & North Africa
United Arab Emirates,2006,974.52062988,1.88,1,2.7999,1.3298,14.4246687668402,0.1,Middle East & North Africa
United Arab Emirates,2007,1072.70532227,1.88,1,2.9802,1.4053,15.1772513526911,0.1,Middle East & North Africa
United Arab Emirates,2008,1303.14074707,1.86,1,2.8181,1.6405,13.9101055053539,0.1,Middle East & North Africa
United Arab Emirates,2009,1296.97766113,1.93,1,2.9243,1.5177,11.0445985920276,0.1,Middle East & North Africa
United Arab Emirates,2010,1314.63000488,1.93,1,2.6529,1.4195,7.68722216681039,0.1,Middle East & North Africa
United Arab Emirates,2011,1438.47216797,1.07,1,2.8558,1.4369,4.53624184406951,0.1,Middle East & North Africa
United Arab Emirates,2012,1403.52490234,1.07,1,3.0099,1.4767,2.15417385990529,0.1,Middle East & North Africa
United Arab Emirates,2013,1523.88378906,1.15,1,3.3402,1.7413,0.614086082306359,0.1,Middle East & North Africa
United Arab Emirates,2014,1588.28234863,0.01,1,3.9589,1.9953,0.176775197578861,0.1,Middle East & North Africa
United Arab Emirates,2015,1385.53771973,1.1,1,4.9828,2.2111,0.527292387564473,0.1,Middle East & North Africa
United Arab Emirates,2016,1298.12792969,1.36,1,5.5311,2.371,1.05327089864392,0.1,Middle East & North Africa
United Arab Emirates,2017,1650.01855469,1.38,1,5.6829,2.4356,1.33947023681167,0.1,Middle East & North Africa
Uzbekistan,2000,35.50957489,5.33,0.0726687183083645,10.9024,2.9628,1.38374682096563,0.1,Europe & Central Asia
Uzbekistan,2001,30.33938026,5.34,0.0438097904071352,10.8773,2.909,1.26596853291421,0.1,Europe & Central Asia
Uzbekistan,2002,24.39394188,5.54,0.0415688768201831,10.8396,2.8456,1.22383151928578,0.1,Europe & Central Asia
Uzbekistan,2003,25.49855804,5.48,0.0410555264899689,10.7753,2.7816,1.16367524443693,0.1,Europe & Central Asia
Uzbekistan,2004,27.88423538,5.26,0.036155825032102,10.6905,2.721,1.15376921505544,0.1,Europe & Central Asia
Uzbekistan,2005,32.32670975,5.19,0.0551368041410983,10.9794,2.6701,1.1633502238127,0.1,Europe & Central Asia
Uzbekistan,2006,37.71009445,5.12,0.0389066900319994,10.7864,2.6515,1.22021635439699,0.1,Europe & Central Asia
Uzbekistan,2007,46.53120804,4.83,0.0157535803949843,10.8724,2.6329,1.42347489680303,0.1,Europe & Central Asia
Uzbekistan,2008,60.81357193,4.67,0.00361965118972764,11.1342,2.6048,1.60532736295221,0.1,Europe & Central Asia
Uzbekistan,2009,71.42124939,4.58,1,11.173,2.5706,1.687340968602,0.1,Europe & Central Asia
Uzbekistan,2010,85.18738556,4.44,0.00150292092682128,11.3794,2.5432,2.82284968340424,0.1,Europe & Central Asia
Uzbekistan,2011,100.09022522,4.32,1,11.4244,2.5036,2.68401550537804,0.1,Europe & Central Asia
Uzbekistan,2012,117.570755,4.19,1,11.3964,2.4451,1.47209998811321,0.2,Europe & Central Asia
Uzbekistan,2013,130.42457581,3.99,1,11.5598,2.4044,1.56190433294848,0.2,Europe & Central Asia
Uzbekistan,2014,117.65130615,3.98,1,11.2804,2.3742,1.68690035915161,0.2,Europe & Central Asia
"Venezuela, RB",2001,391.50839233,0.8000000119,1.93480039940811,1.1361,1.9475,1.85931662601217,0.4,Latin America & Caribbean
Vietnam,2001,23.18782616,2.4000000954,3.11134945735356,0.7332,0.5242,1.0358933872913,0.3,East Asia & Pacific
Vietnam,2002,19.65594101,1.4,2.18757010322523,0.7581,0.5514,0.976001213951017,0.3,East Asia & Pacific
Vietnam,2005,35.03743744,2.34,0.657195470608299,0.831,0.6139,0.922551593967954,0.3,East Asia & Pacific
Vietnam,2006,42.29331589,2.66,0.699462185417804,0.8797,0.6239,0.931893992984162,0.3,East Asia & Pacific
Vietnam,2008,59.16986084,2.9,0.281794714682183,1.0207,0.6648,0.959836735124864,0.3,East Asia & Pacific
Vietnam,2009,64.43672943,3.1,0.356043207532854,1.1081,0.6982,0.979409218714375,0.4,East Asia & Pacific
Vietnam,2010,78.63555908,2.91,0.354135078863425,1.2327,0.71,1.00012883807904,0.4,East Asia & Pacific
Vietnam,2012,108.93997192,2.5,0.360182959888918,1.4524,0.8209,1.04162218011767,0.4,East Asia & Pacific
Vietnam,2013,119.52192688,3.18,0.310389703243223,1.226,1.18,1.05306229998885,0.4,East Asia & Pacific
Vietnam,2014,117.41460419,2.6,0.281985625006047,1.4299,0.783,1.05363581050321,0.4,East Asia & Pacific
"Yemen, Rep.",2004,39.15239334,0.59,32.2180974782849,0.7035,0.3449,2.88193132446171,0.1,Middle East & North Africa
"Yemen, Rep.",2014,81.05194855,0.71,29.1333771503743,0.8789,0.5251,2.65414064347765,0.1,Middle East & North Africa
Zambia,2008,55.93905258,1.9,176.72354917461,0.7076,0.0619,2.72642294267314,12.2,Sub-Saharan Africa
Zambia,2010,55.3928299,1,177.022672226768,0.73,0.0614,2.914654960089,12.1,Sub-Saharan Africa
Zimbabwe,2011,88.38669586,1.7,70.6782340940487,1.3201,0.0817,1.53640571630567,1,Sub-Saharan Africa
